"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Kinetic Energy (J/kg)","Specific Dissipation Rate (/s)","Total Pressure (Pa)","X (m)","Y (m)","Z (m)"
0.342945511917813,-5.93625763789585e-05,5.03431537474589e-07,0.00478042292393428,0.525646237987984,92.3807492305183,18000,4987.56819709529,-4.67905310961078
0.276204917390019,-7.93719250305156e-05,-1.93126258736873e-07,0.00387547585648223,0.73646204005225,71.2031406311555,18000,4982.50836710568,-4.79581962453743
0.227501275697954,-8.04686366836198e-05,1.71178122082776e-08,0.00319104109895247,1.10725972022304,58.6308561885124,18000,4977.50064688551,-4.8750415038694
0.190814672519789,-7.56188728266278e-05,1.47690038207233e-08,0.00270933425327004,1.81487318361179,50.7661794846295,18000,4972.50004616994,-4.92879069873772
0.162499688079369,-6.76436800524434e-05,9.21457924641931e-09,0.0025808832705752,3.25443074571937,45.6391997296164,18000,4967.50000260803,-4.9652575936581
0.109045418473903,-4.74462189486818e-05,-7.52461975957804e-10,0.000936271652419099,13.303450369438,38.2002251914159,18000,4962.50000009987,-4.98999906984935
0.642642354304746,3.29258592715615e-06,1.52164423606565e-05,0.0151587275170785,0.136209632026151,243.770345418302,18000,4998.87939664007,-1.93969831292736
0.558585104756334,-1.0563267935234e-05,4.676372420763e-05,0.0088625154583029,0.248399543601894,192.041341957069,18000,4997.13548163024,-3.87939663765867
0.44774150112089,-5.56381048380915e-05,-5.5507029816668e-06,0.00703730836709993,0.282296940627298,134.844968506442,18000,4992.8244911365,-4.25328148817193
0.35080752757861,-6.16204236475493e-05,7.8400657592918e-07,0.00557259697694681,0.357875616393357,95.1760583436322,18000,4987.56120684156,-4.50694889896736
0.283300785816555,-8.15853399944967e-05,-2.71467276243473e-07,0.00456108940217237,0.483023779115491,73.2378526345939,18000,4982.50782306565,-4.67905310961078
0.234443132039287,-8.31065538147064e-05,3.20217145735152e-08,0.0037809296645688,0.688428156393516,60.2743169372404,18000,4977.50061955412,-4.79581962453743
0.198263100544151,-7.86862828104426e-05,3.28501248454686e-08,0.00315590426660631,1.04273127604099,52.2514146114135,18000,4972.50004488333,-4.8750415038694
0.170772545179307,-7.11544460099767e-05,1.68956153569817e-08,0.00270432151056821,1.70268554272102,47.052221338223,18000,4967.50000255964,-4.92879069873772
0.149376016019723,-6.50293821120558e-05,1.09635560591336e-08,0.0025599289075033,2.99374438190727,43.5416504858162,18000,4962.50000009863,-4.9652575936581
0.102224484897535,-4.49798266395391e-05,-2.27223369770371e-09,0.000883193200851404,12.9209435429317,37.4616786181186,18000,4957.5000000029,-4.98999906984935
0.629138035661239,2.08064296268147e-06,1.91553934188151e-05,0.0149202155321219,0.132782375530866,234.966506673489,18000,4998.32832122825,-1.66416060352172
0.561405382226405,-1.67832214360832e-05,4.33391959843939e-05,0.00997756601475075,0.192527912714287,193.649752629112,18000,4996.737255973,-3.32832122465217
0.4543642321171,-5.32643683253486e-05,-5.69092117517583e-06,0.00811991256983699,0.20860579414148,137.906795968371,18000,4992.72768741269,-3.87939665187694
