"Iteration","Thrust (row-1_turbine-1) Monitor: Thrust (row-1_turbine-1) Monitor (N)","Thrust (row-1_turbine-2) Monitor: Thrust (row-1_turbine-2) Monitor (N)","Thrust (row-1_turbine-3) Monitor: Thrust (row-1_turbine-3) Monitor (N)","Thrust (row-1_turbine-4) Monitor: Thrust (row-1_turbine-4) Monitor (N)","Thrust (row-1_turbine-5) Monitor: Thrust (row-1_turbine-5) Monitor (N)","Thrust (row-2_turbine-1) Monitor: Thrust (row-2_turbine-1) Monitor (N)","Thrust (row-2_turbine-2) Monitor: Thrust (row-2_turbine-2) Monitor (N)","Thrust (row-2_turbine-3) Monitor: Thrust (row-2_turbine-3) Monitor (N)","Thrust (row-2_turbine-4) Monitor: Thrust (row-2_turbine-4) Monitor (N)"
18.0,220096.35713787706,221138.22114612436,221876.88872531144,221120.32019879454,221041.7390291507,91254.59933430396,250741.4575100209,250322.9269442052,86236.65983632216
19.0,218101.9961308952,220022.71338372567,220888.56972378545,220015.94411441393,219051.11512953305,95875.93093111084,240457.26420891937,241783.0767280659,91522.32155560324
20.0,216139.2444363785,218904.8917747782,219925.18833689656,218923.23402723932,217075.6663442389,102491.3361107877,231935.00139279623,234438.39865903597,98740.96879841502
21.0,214565.34827361393,218055.3506452408,219211.93653539108,218066.8822271516,215490.84868270607,110824.9014860689,226624.9562889833,229877.96751283132,107570.84640418315
22.0,213152.28487485234,217221.04279146425,218519.13855621812,217240.4780060128,214051.75470818335,120168.3866687587,224640.81721763173,228289.73728024826,117357.38202633466
23.0,211938.43264518605,216465.76151324325,217910.98413314304,216503.65112725657,212815.38227247633,130224.94956200983,225327.47671957745,229211.9188191851,127741.4379035284
24.0,210850.85473015188,215687.9352252013,217278.4677295523,215748.05922027028,211720.79517653526,140388.5743264835,227501.98682112532,231376.86644575227,138189.93599974114
25.0,209858.59434645297,214915.81726428814,216632.68997731688,214989.88220763352,210719.0044249557,150242.12497979292,230480.2207155528,234264.979710276,148343.01417986615
26.0,208974.6262800863,214126.72463316255,215935.83658176597,214202.1210974685,209796.01891289788,159229.83157770988,233547.32640674006,237207.65813691478,157714.69894708513
27.0,208183.638930342,213374.06684527406,215267.93124184903,213480.72489966222,209020.59061299765,167407.8285026145,236509.28967262755,239963.07956384378,166230.51560251854
28.0,207467.9763588716,212600.11157425772,214531.25594395713,212701.94352547734,208276.98457960619,174633.2526556436,239284.3185169946,242511.4963745454,173894.52457457944
29.0,206822.43003534994,211869.42411671538,213846.22414864786,211984.65434433223,207620.8732651398,181149.4930821131,241940.0725968724,244867.5789821199,180868.5050492729
30.0,206231.11797089022,211077.48883768055,213054.1261820989,211191.16116370657,207008.80189646716,187059.96621641907,244283.65210774651,246934.59280882374,187145.9205568565
31.0,205690.51504574835,210365.46845919066,212331.9438487494,210475.1127036029,206456.0441442646,192840.48072416318,246568.21888805408,248908.26401077246,193220.82921887081
32.0,205190.78944579465,209586.2774901524,211541.70011448418,209702.82933495252,205935.98471701192,198496.28314913585,248712.16656920046,250708.86815835518,199191.10069511534
33.0,204703.8143984802,208800.59654875885,210704.1799983579,208925.32430752603,205441.95420842053,204123.6520813697,250733.91651306668,252346.95702123106,205019.32109418637
34.0,204248.7978207084,208066.8143400813,209921.0562399523,208188.92205254472,204972.5409331933,209873.48356791565,252686.10012314678,253872.46875525208,210835.94265795007
35.0,203802.0261295124,207296.6991298279,209088.04732598213,207434.15166830397,204523.57911137826,215713.70954532828,254504.9507060102,255259.45666097582,216666.39095007308
36.0,203395.34433483833,206573.40729843243,208280.70438144662,206698.26351272332,204089.5459557727,221530.37229062442,256170.2559138774,256471.13954875208,222359.42087372608
37.0,203024.66251440955,205875.7984931757,207500.6320565993,205999.1992299481,203683.7797118012,227315.9029305609,257689.1120981521,257552.85595334554,227942.071408215
