"Iteration","Torque (row-1_turbine-1) Monitor: Torque (row-1_turbine-1) Monitor (N-m)","Torque (row-1_turbine-2) Monitor: Torque (row-1_turbine-2) Monitor (N-m)","Torque (row-1_turbine-3) Monitor: Torque (row-1_turbine-3) Monitor (N-m)","Torque (row-1_turbine-4) Monitor: Torque (row-1_turbine-4) Monitor (N-m)","Torque (row-1_turbine-5) Monitor: Torque (row-1_turbine-5) Monitor (N-m)","Torque (row-2_turbine-1) Monitor: Torque (row-2_turbine-1) Monitor (N-m)","Torque (row-2_turbine-2) Monitor: Torque (row-2_turbine-2) Monitor (N-m)","Torque (row-2_turbine-3) Monitor: Torque (row-2_turbine-3) Monitor (N-m)","Torque (row-2_turbine-4) Monitor: Torque (row-2_turbine-4) Monitor (N-m)"
24.0,13470.131349862488,13931.78628853095,14082.453295748775,13937.49177504018,13553.547241380144,73405.70157746764,15037.996095202288,15394.527149931504,71704.98225263142
25.0,13374.775937332286,13858.444999069565,14021.34725932359,13865.485931825326,13457.473606329657,80868.6990504428,15312.293497943956,15677.171401513082,79449.85784341101
26.0,13289.637023520772,13783.354896958885,13955.3058463269,13790.535609131124,13368.754930267038,78889.56731075687,15598.663544473691,15997.83404659891,82087.62591833228
27.0,13213.300507479129,13711.602726629026,13891.907639756864,13721.778321456648,13294.068492813243,61883.14036264685,15921.91417173433,16296.290426632706,64305.552473505704
28.0,13144.108198791546,13637.687954034209,13821.867396187434,13647.420862470646,13222.316647167418,47198.10632501344,16222.929688185852,16570.801076198433,48685.4735234945
29.0,13081.592345836743,13567.78163375334,13756.62908392658,13578.813946455137,13158.900735710147,34211.283408996096,16509.37449554086,16823.311651406475,34766.45454032443
30.0,13024.242849981929,13491.879163732568,13681.063851259445,13502.782760047001,13099.650946798047,22631.07575487426,16760.843732590314,17043.84154514632,22464.019469315514
31.0,12971.739390598696,13423.514262452612,13612.045809044143,13434.049333591187,13046.06742134369,11702.755544928285,17004.82066960124,17253.551652599537,11740.913844321442
32.0,12923.14446046923,13348.567053846744,13536.388419570765,13359.786563926848,12995.588004449155,12266.343626000056,17232.75289404897,17444.14756469452,12335.023101147115
33.0,12875.732396610585,13272.854212191716,13456.050200572021,13284.88322642126,12947.57593011611,12819.173812379857,17446.794117880698,17616.94648351817,12906.456673248567
34.0,12831.380760987457,13202.013713961645,13380.785123202442,13213.8108516862,12901.902681901072,13376.20844555801,17652.651802620425,17777.365441843845,13468.699976807047
35.0,12787.784617566536,13127.530911032503,13300.571181523996,13140.834975569149,12858.17030915328,13934.232248713977,17843.734058153088,17922.799157267546,14024.538431970352
36.0,12748.058840382724,13057.45043392004,13222.675896258472,13069.556641786745,12815.846387645597,14482.535167528677,18018.086580284376,18049.527605565516,14560.095033857615
37.0,12711.814980096471,12989.741927526973,13147.268044816337,13001.727307602192,12776.23808332855,15020.798130668696,18176.61209258315,18162.409952787955,15078.640923948018
